Factors for n=1000
999900 : 2*2*3*3*5*5*11*101
999901 : 7*83*1721
999902 : 2*23*21737
999903 : 3*79*4219
999904 : 2*2*2*2*2*31247
999905 : 5*31*6451
999906 : 2*3*17*9803
999907 : 999907
999908 : 2*2*7*13*41*67
999909 : 3*3*241*461
999910 : 2*5*99991
999911 : 11*90901
999912 : 2*2*2*3*61*683
999913 : 19*52627
999914 : 2*499957
999915 : 3*5*7*89*107
999916 : 2*2*457*547
999917 : 999917
999918 : 2*3*3*3*18517
999919 : 991*1009
999920 : 2*2*2*2*5*29*431
999921 : 3*13*25639
999922 : 2*7*11*43*151
999923 : 17*131*449
999924 : 2*2*3*103*809
999925 : 5*5*23*37*47
999926 : 2*263*1901
999927 : 3*3*111103
999928 : 2*2*2*124991
999929 : 7*211*677
999930 : 2*3*5*33331
999931 : 999931
999932 : 2*2*19*59*223
999933 : 3*11*157*193
999934 : 2*13*38459
999935 : 5*227*881
999936 : 2*2*2*2*2*2*2*2*2*3*3*7*31
999937 : 113*8849
999938 : 2*499969
999939 : 3*149*2237
999940 : 2*2*5*17*17*173
999941 : 577*1733
999942 : 2*3*166657
999943 : 7*7*20407
999944 : 2*2*2*11*11*1033
999945 : 3*3*3*3*3*5*823
999946 : 2*499973
999947 : 13*76919
999948 : 2*2*3*23*3623
999949 : 29*29*29*41
999950 : 2*5*5*7*2857
999951 : 3*19*53*331
999952 : 2*2*2*2*62497
999953 : 999953
999954 : 2*3*3*73*761
999955 : 5*11*18181
999956 : 2*2*249989
999957 : 3*7*17*2801
999958 : 2*499979
999959 : 999959
999960 : 2*2*2*3*5*13*641
999961 : 999961
999962 : 2*37*13513
999963 : 3*3*137*811
999964 : 2*2*7*71*503
999965 : 5*43*4651
999966 : 2*3*11*109*139
999967 : 31*32257
999968 : 2*2*2*2*2*31249
999969 : 3*333323
999970 : 2*5*19*19*277
999971 : 7*23*6211
999972 : 2*2*3*3*3*47*197
999973 : 13*13*61*97
999974 : 2*17*29411
999975 : 3*5*5*67*199
999976 : 2*2*2*239*523
999977 : 11*90907
999978 : 2*3*7*29*821
999979 : 999979
999980 : 2*2*5*49999
999981 : 3*3*111109
999982 : 2*79*6329
999983 : 999983
999984 : 2*2*2*2*3*83*251
999985 : 5*7*28571
999986 : 2*13*38461
999987 : 3*257*1297
999988 : 2*2*11*22727
999989 : 19*52631
999990 : 2*3*3*5*41*271
999991 : 17*59*997
999992 : 2*2*2*7*7*2551
999993 : 3*333331
999994 : 2*23*21739
999995 : 5*199999
999996 : 2*2*3*167*499
999997 : 757*1321
999998 : 2*31*127*127
999999 : 3*3*3*7*11*13*37
