Factors for n=10000
99999900 : 2*2*3*3*3*5*5*7*11*13*37
99999901 : 151*662251
99999902 : 2*41*857*1423
99999903 : 3*2741*12161
99999904 : 2*2*2*2*2*3124997
99999905 : 5*19999981
99999906 : 2*3*23*251*2887
99999907 : 7*19*751879
99999908 : 2*2*379*65963
99999909 : 3*3*11111101
99999910 : 2*5*9999991
99999911 : 11*9090901
99999912 : 2*2*2*3*67*62189
99999913 : 13*7692301
99999914 : 2*7*7142851
99999915 : 3*5*113*58997
99999916 : 2*2*17*613*2399
99999917 : 29*3448273
99999918 : 2*3*3*773*7187
99999919 : 97*103*10009
99999920 : 2*2*2*2*5*1249999
99999921 : 3*7*503*9467
99999922 : 2*11*4545451
99999923 : 53*61*30931
99999924 : 2*2*3*31*268817
99999925 : 5*5*877*4561
99999926 : 2*13*19*47*59*73
99999927 : 3*3*3*3*127*9721
99999928 : 2*2*2*7*1785713
99999929 : 23*4347823
99999930 : 2*3*5*3333331
99999931 : 99999931
99999932 : 2*2*24999983
99999933 : 3*11*17*397*449
99999934 : 2*167*299401
99999935 : 5*7*7*7*58309
99999936 : 2*2*2*2*2*2*3*3*139*1249
99999937 : 37*2702701
99999938 : 2*79*632911
99999939 : 3*13*2564101
99999940 : 2*2*5*43*116279
99999941 : 99999941
99999942 : 2*3*7*2380951
99999943 : 41*269*9067
99999944 : 2*2*2*11*1136363
99999945 : 3*3*5*19*116959
99999946 : 2*29*29*59453
99999947 : 4013*24919
99999948 : 2*2*3*8333329
99999949 : 7*229*62383
99999950 : 2*5*5*17*71*1657
99999951 : 3*3331*10007
99999952 : 2*2*2*2*13*23*20903
99999953 : 107*934579
99999954 : 2*3*3*3*1851851
99999955 : 5*11*31*89*659
99999956 : 2*2*7*3571427
99999957 : 3*33333319
99999958 : 2*197*353*719
99999959 : 99999959
99999960 : 2*2*2*3*5*191*4363
99999961 : 179*179*3121
99999962 : 2*593*84317
99999963 : 3*3*7*1587301
99999964 : 2*2*19*263*5003
99999965 : 5*13*1538461
99999966 : 2*3*11*11*181*761
99999967 : 17*5882351
99999968 : 2*2*2*2*2*3124999
99999969 : 3*1091*30553
99999970 : 2*5*7*1428571
99999971 : 99999971
99999972 : 2*2*3*3*1009*2753
99999973 : 47*2127659
99999974 : 2*37*37*36523
99999975 : 3*5*5*23*29*1999
99999976 : 2*2*2*53*235849
99999977 : 7*11*83*15647
99999978 : 2*3*13*1282051
99999979 : 67*109*13693
99999980 : 2*2*5*4999999
99999981 : 3*3*3*3703703
99999982 : 2*49999991
99999983 : 19*43*122399
99999984 : 2*2*2*2*3*7*7*17*41*61
99999985 : 5*59*257*1319
99999986 : 2*31*1612903
99999987 : 3*33333329
99999988 : 2*2*11*2272727
99999989 : 99999989
99999990 : 2*3*3*5*239*4649
99999991 : 7*13*769*1429
99999992 : 2*2*2*12499999
99999993 : 3*33333331
99999994 : 2*1181*42337
99999995 : 5*19999999
99999996 : 2*2*3*1667*4999
99999997 : 1297*77101
99999998 : 2*7*23*310559
99999999 : 3*3*11*73*101*137
