Factors for n=300
89900 : 2*2*5*5*29*31
89901 : 3*3*7*1427
89902 : 2*79*569
89903 : 11*11*743
89904 : 2*2*2*2*3*1873
89905 : 5*17981
89906 : 2*44953
89907 : 3*23*1303
89908 : 2*2*7*13*13*19
89909 : 89909
89910 : 2*3*3*3*3*3*5*37
89911 : 47*1913
89912 : 2*2*2*11239
89913 : 3*17*41*43
89914 : 2*11*61*67
89915 : 5*7*7*367
89916 : 2*2*3*59*127
89917 : 89917
89918 : 2*44959
89919 : 3*3*97*103
89920 : 2*2*2*2*2*2*5*281
89921 : 13*6917
89922 : 2*3*7*2141
89923 : 89923
89924 : 2*2*22481
89925 : 3*5*5*11*109
89926 : 2*44963
89927 : 19*4733
89928 : 2*2*2*3*3*1249
89929 : 7*29*443
89930 : 2*5*17*23*23
89931 : 3*31*967
89932 : 2*2*22483
89933 : 139*647
89934 : 2*3*13*1153
89935 : 5*17987
89936 : 2*2*2*2*7*11*73
89937 : 3*3*3*3331
89938 : 2*193*233
89939 : 89939
89940 : 2*2*3*5*1499
89941 : 53*1697
89942 : 2*44971
89943 : 3*7*4283
89944 : 2*2*2*11243
89945 : 5*17989
89946 : 2*3*3*19*263
89947 : 11*13*17*37
89948 : 2*2*113*199
89949 : 3*29983
89950 : 2*5*5*7*257
89951 : 293*307
89952 : 2*2*2*2*2*3*937
89953 : 23*3911
89954 : 2*41*1097
89955 : 3*3*5*1999
89956 : 2*2*43*523
89957 : 7*71*181
89958 : 2*3*11*29*47
89959 : 89959
89960 : 2*2*2*5*13*173
89961 : 3*157*191
89962 : 2*31*1451
89963 : 89963
89964 : 2*2*3*3*3*7*7*17
89965 : 5*19*947
89966 : 2*44983
89967 : 3*29989
89968 : 2*2*2*2*5623
89969 : 11*8179
89970 : 2*3*5*2999
89971 : 7*12853
89972 : 2*2*83*271
89973 : 3*3*13*769
89974 : 2*44987
89975 : 5*5*59*61
89976 : 2*2*2*3*23*163
89977 : 89977
89978 : 2*7*6427
89979 : 3*89*337
89980 : 2*2*5*11*409
89981 : 17*67*79
89982 : 2*3*3*4999
89983 : 89983
89984 : 2*2*2*2*2*2*2*19*37
89985 : 3*5*7*857
89986 : 2*13*3461
89987 : 29*29*107
89988 : 2*2*3*7499
89989 : 89989
89990 : 2*5*8999
89991 : 3*3*3*3*11*101
89992 : 2*2*2*7*1607
89993 : 31*2903
89994 : 2*3*53*283
89995 : 5*41*439
89996 : 2*2*149*151
89997 : 3*131*229
89998 : 2*17*2647
89999 : 7*13*23*43
