Factors for n=690
476000 : 2*2*2*2*2*5*5*5*7*17
476001 : 3*3*52889
476002 : 2*238001
476003 : 11*109*397
476004 : 2*2*3*39667
476005 : 5*31*37*83
476006 : 2*29*29*283
476007 : 3*7*19*1193
476008 : 2*2*2*13*23*199
476009 : 476009
476010 : 2*3*3*3*5*41*43
476011 : 619*769
476012 : 2*2*59*2017
476013 : 3*101*1571
476014 : 2*7*11*11*281
476015 : 5*95203
476016 : 2*2*2*2*3*47*211
476017 : 17*28001
476018 : 2*238009
476019 : 3*3*227*233
476020 : 2*2*5*23801
476021 : 7*13*5231
476022 : 2*3*79337
476023 : 476023
476024 : 2*2*2*157*379
476025 : 3*5*5*11*577
476026 : 2*19*12527
476027 : 476027
476028 : 2*2*3*3*7*1889
476029 : 476029
476030 : 2*5*181*263
476031 : 3*23*6899
476032 : 2*2*2*2*2*2*2*3719
476033 : 73*6521
476034 : 2*3*13*17*359
476035 : 5*7*7*29*67
476036 : 2*2*11*31*349
476037 : 3*3*3*3*3*3*653
476038 : 2*238019
476039 : 476039
476040 : 2*2*2*3*5*3967
476041 : 476041
476042 : 2*7*37*919
476043 : 3*107*1483
476044 : 2*2*61*1951
476045 : 5*19*5011
476046 : 2*3*3*53*499
476047 : 11*13*3329
476048 : 2*2*2*2*29753
476049 : 3*7*22669
476050 : 2*5*5*9521
476051 : 17*41*683
476052 : 2*2*3*39671
476053 : 43*11071
476054 : 2*23*79*131
476055 : 3*3*5*71*149
476056 : 2*2*2*7*8501
476057 : 587*811
476058 : 2*3*11*7213
476059 : 476059
476060 : 2*2*5*13*1831
476061 : 3*89*1783
476062 : 2*238031
476063 : 7*47*1447
476064 : 2*2*2*2*2*3*3*3*19*29
476065 : 5*95213
476066 : 2*103*2311
476067 : 3*31*5119
476068 : 2*2*17*7001
476069 : 11*113*383
476070 : 2*3*5*7*2267
476071 : 59*8069
476072 : 2*2*2*59509
476073 : 3*3*13*13*313
476074 : 2*238037
476075 : 5*5*137*139
476076 : 2*2*3*97*409
476077 : 7*23*2957
476078 : 2*238039
476079 : 3*37*4289
476080 : 2*2*2*2*5*11*541
476081 : 476081
476082 : 2*3*3*26449
476083 : 19*25057
476084 : 2*2*7*7*7*347
476085 : 3*5*17*1867
476086 : 2*13*18311
476087 : 476087
476088 : 2*2*2*3*83*239
476089 : 476089
476090 : 2*5*47609
476091 : 3*3*3*7*11*229
476092 : 2*2*41*2903
476093 : 29*16417
476094 : 2*3*79349
476095 : 5*95219
476096 : 2*2*2*2*2*2*43*173
476097 : 3*158699
476098 : 2*7*31*1097
476099 : 13*53*691
