Factors for n=15
125 : 5*5*5
126 : 2*3*3*7
127 : 127
128 : 2*2*2*2*2*2*2
129 : 3*43
130 : 2*5*13
131 : 131
132 : 2*2*3*11
133 : 7*19
134 : 2*67
135 : 3*3*3*5
136 : 2*2*2*17
137 : 137
138 : 2*3*23
139 : 139
140 : 2*2*5*7
141 : 3*47
142 : 2*71
143 : 11*13
144 : 2*2*2*2*3*3
145 : 5*29
146 : 2*73
147 : 3*7*7
148 : 2*2*37
149 : 149
150 : 2*3*5*5
151 : 151
152 : 2*2*2*19
153 : 3*3*17
154 : 2*7*11
155 : 5*31
156 : 2*2*3*13
157 : 157
158 : 2*79
159 : 3*53
160 : 2*2*2*2*2*5
161 : 7*23
162 : 2*3*3*3*3
163 : 163
164 : 2*2*41
165 : 3*5*11
166 : 2*83
167 : 167
168 : 2*2*2*3*7
169 : 13*13
170 : 2*5*17
171 : 3*3*19
172 : 2*2*43
173 : 173
174 : 2*3*29
175 : 5*5*7
176 : 2*2*2*2*11
177 : 3*59
178 : 2*89
179 : 179
180 : 2*2*3*3*5
181 : 181
182 : 2*7*13
183 : 3*61
184 : 2*2*2*23
185 : 5*37
186 : 2*3*31
187 : 11*17
188 : 2*2*47
189 : 3*3*3*7
190 : 2*5*19
191 : 191
192 : 2*2*2*2*2*2*3
193 : 193
194 : 2*97
195 : 3*5*13
196 : 2*2*7*7
197 : 197
198 : 2*3*3*11
199 : 199
200 : 2*2*2*5*5
201 : 3*67
202 : 2*101
203 : 7*29
204 : 2*2*3*17
205 : 5*41
206 : 2*103
207 : 3*3*23
208 : 2*2*2*2*13
209 : 11*19
210 : 2*3*5*7
211 : 211
212 : 2*2*53
213 : 3*71
214 : 2*107
215 : 5*43
216 : 2*2*2*3*3*3
217 : 7*31
218 : 2*109
219 : 3*73
220 : 2*2*5*11
221 : 13*17
222 : 2*3*37
223 : 223
224 : 2*2*2*2*2*7
